Date (2026),Country,Target type,Specific facility,Attack method,Damage,Water impact,Source
02 Mar,KSA,Energy,Ras Tanura refinery and crude export terminal,"Iranian drone (2 drones intercepted, debris caused damage)",Limited fire; units shut as precaution; no injuries; local petroleum supplies unaffected,not reported,"Reuters, 2026a"
04 Mar,KSA,Energy,Ras Tanura refinery and crude export terminal,Attempted drone attack,"No damage and no supply disruption (Saudi defence ministry); Reuters: site was struck, no details on damage",not reported,"Reuters, 2026e"
13 Mar,KSA,Energy,Safaniya and Zuluf offshore oil fields,Strait of Hormuz blockage,No physical damage; fields shut and output cut,not reported,"Reuters, 2026k"
19 Mar,KSA,Energy refinery and export node,"SAMREF refinery, Yanbu",Drone fell or crashed at refinery; separate ballistic missile toward Yanbu intercepted,Damage described as minimal or under assessment; staff evacuated; Yanbu oil loadings briefly halted then resumed,not reported,"Reuters, 2026p"
02 Mar,Qatar,Energy (LNG),"Ras Laffan Industrial City, QatarEnergy LNG facilities",Iranian drone attacks on facilities,LNG production paused; force majeure followed,not reported,"Reuters, 2026f"
02 Mar,Qatar,"Energy, industrial processing",Mesaieed Industrial City (QatarEnergy operating facilities),Drones hit facilities,Led to QatarEnergy’s decision to cease LNG production,not reported,"Khaleej Times, 2026; Reuters, 2026a"
19 Mar,Qatar,"Energy, LNG and GTL",Ras Laffan Industrial City; Pearl GTL and LNG trains,Iranian missile attacks causing fire,"QatarEnergy reported extensive damage; Pearl GTL damaged; two LNG trains and one GTL facility damaged, knocking out 17% of LNG export capacity",not reported,"Reuters, 2026n"
02 Mar,UAE,Energy (fuel storage),"Musaffah fuel tank terminal, Abu Dhabi",Drone strike,"Fire, promptly contained; no injuries; operations not impacted",not reported,"Reuters, 2026b"
03 Mar,UAE,Energy (bunkering storage),Fujairah oil industry,Debris from intercepted drone,Storage infrastructure damaged; bunkering slowed; some bunker and loading vessels on hold; Vopak and VTTI suspended parts of terminal operations,not reported,"Reuters, 2026c"
10 Mar,UAE,"Energy, refinery","Ruwais refinery, Abu Dhabi",Drone strike,Refinery shut as a precaution,not reported,"Reuters, 2026h"
16 Mar,UAE,"Energy, oil export terminal",Fujairah port crude terminals,Drone attack,ADNOC suspended crude loading; three fires reported in the industrial zone; no casualties,not reported,"Reuters, 2026l"
16 Mar,UAE,"Energy, gas production",Shah gas field,Drone attack,Operations shut while damage assessed; no injuries reported,not reported,"Reuters, 2026m"
17 Mar,UAE,"Energy, oil export terminal",Fujairah export terminal,Third attack in 4 days causing fire,Oil loading partly halted; ADNOC crude loading remained suspended; terminal still operating at reduced capacity,not reported,"Reuters, 2026m"
19 Mar,UAE,"Energy, gas processing",Habshan gas facilities,Falling debris from intercepted missiles,Facilities shut; no injuries reported,not reported,"Reuters, 2026n"
19 Mar,UAE,"Energy, oil production",Bab oil field,Falling debris from intercepted missiles,Specific physical damage not detailed,not reported,"Reuters, 2026n"
07 Mar,Kuwait,Energy (crude production/export),KPC crude production and refining throughput,Strait of Hormuz blockage,Force majeure declared; crude production and refining throughput reduced,not reported,"Reuters, 2026o"
08 Mar,Kuwait,Energy (aviation fuel storage),Kuwait International Airport fuel tanks,Drone strike,Two fuel tanks hit; large fire; material damage; no significant injuries,not reported,"Xinhua, 2026"
10 Mar,Kuwait,"Energy, refining","Al-Zour, Mina Al-Ahmadi, and Mina Abdullah refineries","War-related storage saturation and export disruption, not a direct strike",All three refineries lowered processing rates as storage tanks filled,not reported,"Reuters, 2026i"
12 Mar,Kuwait,Power transmission,Six overhead power transmission lines,Falling debris from intercepted drones,6 lines temporarily damaged and out of service; limited outage in several areas,"Ministry reports electricity generation, water desalination and transmission under control","Kuwait Times, 2026"
19 Mar,Kuwait,"Energy, refining",Mina Al-Ahmadi refinery,Drone attack,Fire reported at one operational unit,not reported,"Reuters, 2026p; Turkiye Today, 2026"
19 Mar,Kuwait,"Energy, refining",Mina Abdullah refinery,Drone attack,Fire reported at one operational unit,not reported,"Reuters, 2026p; Turkiye Today, 2026"
08 Mar,Bahrain,Desalination,Desalination plant near Muharraq,Drone strike,Material damage,No impact on water supplies or network capacity,"Al Jazeera, 2026a"
09 Mar,Bahrain,"Energy, refinery","Bapco Sitra refinery, Sitra Island",Attack on refinery complex,Force majeure declared on operations; domestic needs to remain secured,not reported,"Reuters, 2026g"
12 Mar,Bahrain,Energy (fuel storage),"At or near Bahrain International Airport, Muharraq",Iranian drone strike,Fire and visible smoke,not reported,"Reuters Connect, 2026"
03 Mar,Oman,Energy (port fuel storage),Fuel tank at Duqm commercial port,Several unmanned aircraft,Fuel tank hit; damage contained; no casualties,not reported,"Reuters, 2026d"
11 Mar,Oman,Energy (port oil storage),"Oil storage and fuel tanks at Salalah port, Raysut",Drone strike,Fire at oil storage facilities; Maersk paused all Port of Salalah operations,not reported,"Reuters, 2026j"
