citation_key,full_reference_with_url
"Al Jazeera, 2026a","Al Jazeera, 2026a. Bahrain says water desalination plant damaged in Iranian drone attack. 8 March 2026. https://www.aljazeera.com/news/2026/3/8/bahrain-says-water-desalination-plant-damaged-in-iranian-drone-attack"
"Al Jazeera, 2026b","Al Jazeera, 2026b. Iranian attack damages Kuwait power and desalination plant, kills worker. 30 March 2026. https://www.aljazeera.com/news/2026/3/30/iranian-attack-damages-kuwait-power-and-desalination-plant-kills-worker"
"Kuwait Times, 2026","Kuwait Times, 2026. Electricity Ministry: power lines affected by drone-interception debris. 12 March 2026. https://kuwaittimes.com/article/40992/kuwait/electricity-ministry-power-lines-affected-by-drone-interception-debris/"
"Reuters, 2026a","Reuters, 2026a. Saudi Aramco shuts Ras Tanura refinery after drone strike, source says. 2 March 2026. https://www.reuters.com/business/energy/saudi-aramco-shuts-ras-tanura-refinery-after-drone-strike-source-says-2026-03-02"
"Reuters, 2026b","Reuters, 2026b. Drone attack targets UAE’s Musaffah fuel tank terminal, no impact on operations. 2 March 2026. https://www.reuters.com/world/middle-east/drone-attack-targets-uaes-musaffah-fuel-tank-terminal-no-impact-operations-2026-03-02/"
"Reuters, 2026c","Reuters, 2026c. Bunkering at UAE’s Fujairah slow after fire, demand at other hubs set to rise. 3 March 2026. https://www.reuters.com/business/energy/surge-fujairah-bunker-prices-amid-mideast-conflict-drive-demand-elsewhere-2026-03-03/"
"Reuters, 2026d","Reuters, 2026d. Drone hits fuel tank at Oman’s Duqm port. 3 March 2026. https://www.reuters.com/world/middle-east/drone-hits-fuel-tank-omans-duqm-port-2026-03-03/"
"Reuters, 2026e","Reuters, 2026e. Saudi Aramco’s Ras Tanura struck again by unknown projectile, four sources say. 4 March 2026. https://www.reuters.com/business/energy/saudi-aramcos-ras-tanura-struck-again-by-unknown-projectile-four-sources-say-2026-03-04/"
"Reuters, 2026f","Reuters, 2026f. Qatar shuts gas liquefaction, will take weeks to restart, sources say. 4 March 2026. https://www.reuters.com/business/energy/qatar-shuts-gas-liquefaction-will-take-weeks-restart-sources-say-2026-03-04/"
"Reuters, 2026g","Reuters, 2026g. Bahrain’s Bapco announces force majeure on operations. 9 March 2026. https://www.reuters.com/business/energy/bahrains-bapco-announces-force-majeure-operations-2026-03-09/"
"Reuters, 2026h","Reuters, 2026h. UAE oil giant ADNOC shuts Ruwais refinery after drone strike, sources say. 10 March 2026. https://www.reuters.com/world/middle-east/fire-hits-site-housing-abu-dhabi-national-oil-company-operations-after-drone-2026-03-10/"
"Reuters, 2026i","Reuters, 2026i. Around 1.9 million bpd oil refining capacity shut due to Iran war, Gulf IIR says. 10 March 2026. https://www.reuters.com/business/energy/around-19-million-bpd-oil-refining-capacity-shut-due-iran-war-gulf-iir-says-2026-03-10/"
"Reuters, 2026j","Reuters, 2026j. Oman works to contain fire at Salalah port after drones strike. 11 March 2026. https://www.reuters.com/world/middle-east/oil-storage-facilities-hit-omans-salalah-port-ambrey-state-tv-say-2026-03-11/"
"Reuters, 2026k","Reuters, 2026k. Saudi Arabia cuts oil output 20% to 8 million bpd amid Iran war, sources say. 13 March 2026. https://www.reuters.com/business/energy/saudi-arabia-cuts-oil-output-20-8-million-bpd-amid-iran-war-sources-say-2026-03-13/"
"Reuters, 2026l","Reuters, 2026l. ADNOC oil loading still halted at UAE’s Fujairah, other loadings resume, sources say. 16 March 2026. https://www.reuters.com/business/energy/oil-loading-operations-suspended-uaes-fujairah-port-sources-say-2026-03-16/"
"Reuters, 2026m","Reuters, 2026m. Attacks on UAE’s Fujairah port and Shah gas field add to energy disruption. 16 March 2026. https://www.reuters.com/business/energy/operations-uaes-shah-gas-field-suspended-after-drone-attack-media-office-says-2026-03-16/"
"Reuters, 2026n","Reuters, 2026n. Iran targets facilities across Gulf after Israel struck its key gas installations. 18 March 2026. https://www.reuters.com/world/middle-east/qatarenergy-reports-extensive-damage-after-missile-attacks-ras-laffan-industrial-2026-03-18/"
"Reuters, 2026o","Reuters, 2026o. How the US-Israeli war with Iran is disrupting oil and gas. 18 March 2026. https://www.reuters.com/business/energy/us-israeli-war-iran-causes-major-oil-gas-disruptions-2026-03-18/"
"Reuters, 2026p","Reuters, 2026p. Natural gas prices soar as Iran, Israel strike Middle East energy infrastructure. 19 March 2026. https://www.reuters.com/business/energy/wrapup1-iran-targets-energy-facilities-across-gulf-after-israel-struck-its-key-2026-03-19/"
"Reuters Connect, 2026","Reuters Connect, 2026. Smoke rises following a strike on Bahrain airport on Muharraq Island. 12 March 2026. https://www.reutersconnect.com/"
"The National, 2026","The National, 2026. Kuwaiti power and desalination plant hit in Iranian strike. 30 March 2026. https://www.thenationalnews.com/business/2026/03/30/kuwait-power-and-desalination-plant-hit-in-iranian-strike-as-ministry-reassures-on-operations/"
"The Times of Israel, 2022","The Times of Israel, 2022. Houthi drone attack causes temporary reduction in Saudi oil output. 20 March 2022. https://www.timesofisrael.com/houthi-drone-attack-causes-temporary-reduction-in-saudi-oil-output/"
"Turkiye Today, 2026","Turkiye Today, 2026. Kuwait’s key oil refineries hit by Iranian drone attacks. 19 March 2026. https://www.turkiyetoday.com/region/kuwait-oil-refinery-hit-by-iranian-drone-attack-state-media-says-3216505"
"TRT World, 2026","TRT World, 2026. Iran strike on Kuwaiti power and desalination plant kills Indian worker, damages key facility. 30 March 2026. https://www.trtworld.com/article/2546c313c224"
"Xinhua, 2026","Xinhua, 2026. Kuwait intercepts missiles, drones as airport fuel tanks hit. 8 March 2026. https://english.news.cn/20260308/83f627fd7e5342babcbbc0a0b0265cb7/c.html"
