Resilience element,Bahrain,Kuwait,Oman,Qatar,Saudi Arabia,UAE
Strategic reserves (days),1-2,3,7-10,7,3,90 (Liwa ASR)
Storage infrastructure,Tanks only,Tanks only,Tanks + groundwater,Tanks only,Tanks + groundwater,Tanks + ASR
ASR operational?,No (planning),No (planning),No (planning),No (planning),No (planning),Yes (Liwa)
Renewable desalination (% capacity),~3,~5,~5,~8,~10,~21 (incl. Barakah)
Cogeneration dependency (%),na,na,14.07,100,na,81.12
Backup power duration at major plants,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
National water strategy,NWS 2030,Vision 2035,Vision 2040,NV2030 + NWL 2025,NWS 2030,WSS 2036
Binding reserve target,No,No,No,Targets 7 days,No,Yes (90 days)
Cross-border water infrastructureNone,,None,None,None,None,None
Emergency import agreement,na,na,No (explicit),na,na,na
IHL Article 54 integration,Documented,Not documented,Not documented,Not documented,Not documented,Not documented
AI/ML monitoring deployed (yr),2025/26,2025/26,Q1 2026,2025/26,02/2026,01/2026
